Date,Time,0
2020-05-08 00:00:00,07:25:00,1
2019-09-24 00:00:00,07:05:00,1
2019-09-24 00:00:00,06:05:00,1
2019-09-23 00:00:00,07:58:00,1
2019-09-23 00:00:00,07:40:00,1
2019-09-23 00:00:00,07:39:00,1
2019-09-22 00:00:00,07:28:00,1
2019-09-22 00:00:00,06:55:00,1
2019-09-22 00:00:00,06:49:00,1
2020-05-08 00:00:00,07:10:00,1
2020-09-17 00:00:00,20:45:00,1
2020-05-08 00:00:00,10:30:00,1
2021-05-24 00:00:00,7:30am,1
2021-05-24 00:00:00,05:45:00,1
2021-05-21 00:00:00,7:45am,1
2021-05-21 00:00:00,6:45am,1
2021-05-21 00:00:00,07:55:00,1
2021-05-21 00:00:00,07:15:00,1
2021-05-21 00:00:00,06:45:00,1
2021-05-21 00:00:00,06:40:00,1
2021-05-20 00:00:00,10:00:00,1
2021-05-20 00:00:00,07:25:00,1
2021-05-20 00:00:00,06:50:00,1
2021-05-20 00:00:00,06:45:00,1
2021-05-20 00:00:00,06:00:00,1
2021-05-20 00:00:00,05:55:00,1
2021-05-20 00:00:00,05:35:00,1
2021-05-19 00:00:00,07:00:00,1
2021-05-19 00:00:00,06:45:00,1
2021-05-19 00:00:00,06:30:00,1
2021-05-19 00:00:00,05:45:00,1
2021-05-18 00:00:00,6:50am,1
2021-05-18 00:00:00,07:45:00,1
2021-05-18 00:00:00,05:45:00,1
2021-05-24 00:00:00,07:00:00,1
2021-05-25 00:00:00,05:55:00,1
2021-04-27 00:00:00,7:50am,1
2021-05-25 00:00:00,06:00:00,1
2021-06-06 00:00:00,05:20:00,1
2021-06-06 00:00:00,05:15:00,1
2021-06-04 00:00:00,08:00:00,1
2021-06-04 00:00:00,07:30:00,1
2021-06-03 00:00:00,06:10:00,1
2021-06-01 00:00:00,07:40:00,1
2021-06-01 00:00:00,07:00:00,1
2021-06-01 00:00:00,05:20:00,1
2021-05-31 00:00:00,07:06:00,1
2021-05-31 00:00:00,06:35:00,1
2021-05-31 00:00:00,06:10:00,1
2021-05-31 00:00:00,05:59:00,1
2021-05-27 00:00:00,06:10:00,1
2021-05-26 00:00:00,06:45:00,1
2021-05-26 00:00:00,06:00:00,1
2021-05-26 00:00:00,05:40:00,1
2021-05-26 00:00:00,05:15:00,1
2021-05-25 00:00:00,07:40:00,1
2021-05-25 00:00:00,07:35:00,1
2021-05-25 00:00:00,07:20:00,1
2021-05-25 00:00:00,06:35:00,1
2021-05-16 00:00:00,11:00:00,1
2021-05-16 00:00:00,07:50:00,1
2021-05-16 00:00:00,07:45:00,1
2021-05-16 00:00:00,07:10:00,1
2021-05-04 00:00:00,05:52:00,1
2021-05-03 00:00:00,7:30am,1
2021-05-03 00:00:00,7:15am,1
2021-05-03 00:00:00,6:05am,1
2021-05-03 00:00:00,07:30:00,1
2021-05-03 00:00:00,06:20:00,1
2021-05-03 00:00:00,05:50:00,1
2021-05-02 00:00:00,6:50am,1
2021-05-02 00:00:00,6:25am,1
2021-05-02 00:00:00,16:15:00,1
2021-05-02 00:00:00,16:00:00,1
2021-05-02 00:00:00,07:45:00,1
2021-05-02 00:00:00,07:35:00,1
2021-05-02 00:00:00,07:00:00,1
2021-05-02 00:00:00,06:05:00,1
2021-05-02 00:00:00,06:00:00,1
2021-05-02 00:00:00,05:55:00,1
2021-05-02 00:00:00,05:53:00,1
2021-04-30 00:00:00,07:00:00,1
2021-04-30 00:00:00,06:30:00,1
2021-04-29 00:00:00,06:40:00,1
2021-05-04 00:00:00,05:59:00,1
2021-05-06 00:00:00,05:30:00,1
2021-05-07 00:00:00,06:30:00,1
2021-05-14 00:00:00,6:40am,1
2021-05-16 00:00:00,07:00:00,1
2021-05-16 00:00:00,06:15:00,1
2021-05-15 00:00:00,07:50:00,1
2021-05-15 00:00:00,07:15:00,1
2021-05-15 00:00:00,06:20:00,1
2021-05-15 00:00:00,06:15:00,1
